imdb_title_id	weighted_average_vote	total_votes
tt0012650	6.4	217
tt0012651	6.2	1391
tt0012675	6.4	3055
tt0012699	5.8	109
tt0012745	6.9	135
tt0012752	6.9	846
tt0012755	6.8	163
tt0012763	6.8	1722
tt0012769	5.9	133
tt0012806	6.2	323
tt0012928	6.1	766
tt0012938	6.7	2216
tt0012952	6.4	1234
tt0012973	6.9	566
tt0012975	6.2	255
tt0013033	7.1	340
tt0013059	6.3	343
tt0013075	7.1	1194
tt0013085	6.1	336
tt0013122	6.5	118
tt0013134	6.2	151
tt0013140	7	3072
tt0013169	6.5	360
tt0013201	7	1618
tt0013223	4.9	225
tt0013332	6.7	268
tt0013367	5.4	226
tt0013372	6.2	415
tt0013386	6.6	293
tt0013402	6.7	333
tt0013404	6.4	310
tt0013428	6.9	115
tt0013442	7.9	86620
tt0013450	6.7	706
tt0013469	6.4	233
tt0013496	6.9	1528
tt0013515	6.7	452
tt0013556	7.2	1971
tt0013571	6.6	807
tt0013574	6.6	101
tt0013579	6.8	842
tt0013590	5.9	101
tt0013592	6.3	365
tt0013597	5.8	551
tt0013607	5.8	158
tt0013619	6	169
tt0013662	6.9	418
tt0013674	7	500
tt0013688	6.6	642
tt0013704	6	118
tt0013705	5.8	136
tt0013741	6.6	443
tt0013750	6.3	968
tt0013802	6.3	366
tt0013830	6.8	119
tt0013909	5.2	319
tt0013933	7.5	1103
tt0013951	6.6	505
tt0014029	6.6	1068
tt0014108	6.9	144
tt0014109	7.1	1085
tt0014112	5.5	114
tt0014142	7.2	4711
tt0014205	6.2	893
tt0014341	7.8	9902
tt0014358	7.4	4261
tt0014397	6.8	253
tt0014416	6.5	269
tt0014417	7.5	1889
tt0014429	8.1	17795
tt0014440	7	533
tt0014446	6.7	248
tt0014463	6.5	375
tt0014497	7	826
tt0014516	7	347
tt0014524	6.2	134
tt0014532	6.8	1915
tt0014538	7.1	3949
tt0014586	6.6	1702
tt0014604	6.4	157
tt0014605	6.8	390
tt0014606	6.2	117
tt0014611	7.4	1532
tt0014624	7	4735
tt0014636	6.2	786
tt0014646	6.6	2303
tt0014672	6.4	344
tt0014702	6.7	407
tt0014721	5.9	131
tt0014760	6.9	208
tt0014770	6.5	212
tt0014826	5.7	105
tt0014854	6.9	125
tt0014869	6.5	611
tt0014874	6.3	119
tt0014898	6.8	530
tt0014900	6.4	741
tt0014925	6.1	125
tt0014945	7.7	3024
tt0014972	7.8	3044
tt0014982	6.8	253
tt0015002	7.2	1210
tt0015014	7.2	712
tt0015016	7.2	1898
tt0015018	6.9	292
tt0015022	5.7	665
tt0015036	6.7	145
tt0015064	8.1	12157
tt0015116	6.5	973
tt0015119	7.2	1061
tt0015136	7.1	1540
tt0015145	5.7	447
tt0015163	7.7	8853
tt0015167	6.6	865
tt0015174	7.9	3860
tt0015175	8.1	5082
tt0015200	4.7	104
tt0015202	7.1	2263
tt0015213	6.8	137
tt0015214	7.2	1541
tt0015224	7.1	881
tt0015268	7.1	415
tt0015289	6.3	164
tt0015310	7	466
tt0015312	5.5	220
tt0015324	8.2	39634
tt0015361	7.6	6877
tt0015400	7.7	5460
tt0015493	6.3	200
tt0015498	6.8	430
tt0015500	5.9	310
tt0015518	5.8	121
tt0015532	7.8	5253
tt0015624	7.9	6096
tt0015634	6.2	767
tt0015643	7	177
tt0015648	8	51775
tt0015684	6.3	491
tt0015687	6.6	243
tt0015693	6.4	681
tt0015758	7	415
tt0015768	7.1	1703
tt0015772	6.6	1718
tt0015794	6.3	133
tt0015801	7.1	310
tt0015841	7.5	4882
tt0015842	7.2	1348
tt0015847	5.8	100
tt0015861	6.6	417
tt0015863	7.2	3710
tt0015864	8.2	97480
tt0015872	6.9	151
tt0015881	8.1	8898
tt0015883	6.9	225
tt0015909	6.5	151
tt0015935	6.6	112
tt0016004	7.3	978
tt0016005	6.6	544
tt0016006	5	125
tt0016013	7.2	475
tt0016023	6	448
tt0016028	6.7	877
